,Time(s),Row x Col
3x2,0.003769,6
4x2,0.00061,8
5x2,0.109806,10
4x3,0.064846,12
6x2,0.000552,12
7x2,0.104236,14
5x3,0.00081,15
8x2,0.004123,16
6x3,0.103977,18
9x2,0.001065,18
5x4,0.001051,20
10x2,0.001146,20
7x3,0.109817,21
11x2,0.000567,22
6x4,0.109989,24
8x3,0.000763,24
12x2,0.000567,24
13x2,0.000591,26
9x3,0.015667,27
7x4,0.109575,28
14x2,0.00089,28
6x5,0.001187,30
10x3,0.000789,30
15x2,0.000611,30
8x4,0.000896,32
16x2,0.000614,32
11x3,0.000801,33
17x2,0.000739,34
7x5,0.001196,35
9x4,0.001014,36
12x3,0.000785,36
18x2,0.000714,36
19x2,0.000725,38
13x3,0.000841,39
8x5,0.001013,40
10x4,0.00107,40
20x2,0.091058,40
7x6,0.001367,42
14x3,0.000864,42
21x2,0.000661,42
11x4,0.091102,44
22x2,0.000696,44
9x5,0.082866,45
15x3,0.091185,45
23x2,0.090675,46
8x6,0.001407,48
12x4,0.000997,48
16x3,0.000884,48
24x2,0.000781,48
10x5,0.091689,50
25x2,0.000781,50
17x3,0.000874,51
13x4,0.001078,52
26x2,0.000942,52
9x6,0.001443,54
18x3,0.000936,54
27x2,0.000716,54
11x5,0.001186,55
8x7,0.088506,56
14x4,0.001761,56
28x2,0.0008,56
19x3,0.001093,57
29x2,0.000854,58
10x6,0.001645,60
12x5,0.001285,60
15x4,0.001135,60
20x3,0.00113,60
30x2,0.000872,60
31x2,0.000883,62
9x7,0.001554,63
21x3,0.0016,63
16x4,0.001218,64
32x2,0.001093,64
13x5,0.001293,65
11x6,0.001906,66
22x3,0.001066,66
33x2,0.00092,66
17x4,0.001146,68
34x2,0.091162,68
23x3,0.001896,69
10x7,0.001739,70
14x5,0.001346,70
35x2,0.091363,70
9x8,0.001849,72
12x6,0.001668,72
18x4,0.001324,72
24x3,0.001634,72
36x2,0.001261,72
37x2,0.001192,74
15x5,0.001348,75
25x3,0.00122,75
19x4,0.001202,76
38x2,0.001354,76
11x7,0.001884,77
13x6,0.001875,78
26x3,0.001202,78
39x2,0.001399,78
10x8,0.001995,80
16x5,0.097159,80
20x4,0.001416,80
40x2,0.001548,80
27x3,0.001093,81
41x2,0.001665,82
12x7,0.092591,84
14x6,0.001737,84
21x4,0.001435,84
28x3,0.001449,84
42x2,0.091522,84
17x5,0.001568,85
43x2,0.001881,86
29x3,0.001218,87
11x8,0.002785,88
22x4,0.001525,88
44x2,0.091795,88
10x9,0.002138,90
15x6,0.001592,90
18x5,0.00147,90
30x3,0.001228,90
45x2,0.001858,90
13x7,0.002412,91
23x4,0.002687,92
46x2,0.001899,92
31x3,0.091272,93
47x2,0.001936,94
19x5,0.001461,95
12x8,0.002665,96
16x6,0.004268,96
24x4,0.001541,96
32x3,0.091359,96
48x2,0.002233,96
14x7,0.092058,98
49x2,0.002424,98
11x9,0.092294,99
33x3,0.001452,99
20x5,0.001516,100
25x4,0.091716,100
50x2,0.092146,100
17x6,0.001853,102
34x3,0.001494,102
51x2,0.00239,102
13x8,0.09203,104
26x4,0.001524,104
52x2,0.002501,104
15x7,0.002668,105
21x5,0.091587,105
35x3,0.001838,105
53x2,0.002638,106
12x9,0.002181,108
18x6,0.091721,108
27x4,0.001538,108
36x3,0.092368,108
54x2,0.002951,108
11x10,0.002443,110
22x5,0.001707,110
55x2,0.002776,110
37x3,0.001965,111
14x8,0.002083,112
16x7,0.004559,112
28x4,0.091732,112
56x2,0.002807,112
19x6,0.092016,114
38x3,0.001873,114
57x2,0.093561,114
23x5,0.001852,115
29x4,0.091666,116
58x2,0.002991,116
13x9,0.002343,117
39x3,0.092131,117
59x2,0.003056,118
17x7,0.09345,119
12x10,0.002371,120
15x8,0.092398,120
20x6,0.001816,120
24x5,0.001938,120
30x4,0.001767,120
40x3,0.002133,120
60x2,0.003169,120
61x2,0.003397,122
41x3,0.002086,123
31x4,0.001827,124
62x2,0.093771,124
25x5,0.002052,125
14x9,0.002308,126
18x7,0.002009,126
21x6,0.001984,126
42x3,0.002183,126
63x2,0.003627,126
16x8,0.095583,128
32x4,0.001892,128
64x2,0.093621,128
43x3,0.002235,129
13x10,0.002628,130
26x5,0.001868,130
65x2,0.094264,130
12x11,0.09277,132
22x6,0.002098,132
33x4,0.001937,132
44x3,0.00236,132
66x2,0.004247,132
19x7,0.001956,133
67x2,0.094436,134
15x9,0.002494,135
27x5,0.001944,135
45x3,0.092622,135
17x8,0.002405,136
34x4,0.00201,136
68x2,0.004252,136
23x6,0.002238,138
46x3,0.002669,138
69x2,0.00447,138
14x10,0.002673,140
20x7,0.002507,140
28x5,0.001976,140
35x4,0.002197,140
70x2,0.094826,140
47x3,0.002747,141
71x2,0.094732,142
13x11,0.002934,143
16x9,0.003748,144
18x8,0.002899,144
24x6,0.00213,144
36x4,0.002627,144
48x3,0.002836,144
72x2,0.094918,144
29x5,0.002147,145
73x2,0.095106,146
21x7,0.002566,147
49x3,0.093041,147
37x4,0.00231,148
74x2,0.095495,148
15x10,0.002554,150
25x6,0.002317,150
30x5,0.002175,150
50x3,0.002984,150
75x2,0.095766,150
19x8,0.002925,152
38x4,0.092394,152
76x2,0.005789,152
17x9,0.002683,153
51x3,0.093171,153
14x11,0.094858,154
22x7,0.093977,154
77x2,0.095944,154
31x5,0.002791,155
13x12,0.093141,156
26x6,0.092656,156
39x4,0.002358,156
52x3,0.093382,156
78x2,0.096315,156
79x2,0.096256,158
53x3,0.093525,159
16x10,0.09293,160
20x8,0.092264,160
32x5,0.002525,160
40x4,0.092575,160
80x2,0.006515,160
23x7,0.092457,161
18x9,0.002771,162
27x6,0.092786,162
54x3,0.093765,162
81x2,0.09667,162
41x4,0.002731,164
82x2,0.006704,164
15x11,0.002942,165
33x5,0.003091,165
55x3,0.09387,165
83x2,0.097468,166
14x12,0.003002,168
21x8,0.002717,168
24x7,0.092558,168
28x6,0.002386,168
42x4,0.002799,168
56x3,0.093906,168
84x2,0.097941,168
17x10,0.002684,170
34x5,0.003017,170
85x2,0.097017,170
19x9,0.002919,171
57x3,0.004365,171
43x4,0.093448,172
86x2,0.098257,172
29x6,0.002902,174
58x3,0.094289,174
87x2,0.098377,174
25x7,0.003105,175
35x5,0.002803,175
16x11,0.003223,176
22x8,0.003313,176
44x4,0.002998,176
88x2,0.098693,176
59x3,0.004332,177
89x2,0.098921,178
15x12,0.093121,180
18x10,0.093366,180
20x9,0.00272,180
30x6,0.092656,180
36x5,0.003038,180
45x4,0.003471,180
60x3,0.094741,180
90x2,0.098555,180
14x13,0.003582,182
26x7,0.002998,182
91x2,0.008631,182
61x3,0.09487,183
23x8,0.002984,184
46x4,0.09351,184
92x2,0.098847,184
37x5,0.002969,185
31x6,0.002794,186
62x3,0.005173,186
93x2,0.100121,186
17x11,0.09312,187
47x4,0.093642,188
94x2,0.099919,188
21x9,0.093148,189
27x7,0.00291,189
63x3,0.095074,189
19x10,0.201973,190
38x5,0.002908,190
95x2,0.100165,190
16x12,0.003409,192
24x8,0.003391,192
32x6,0.003178,192
48x4,0.093712,192
64x3,0.005107,192
96x2,0.099889,192
97x2,0.100512,194
15x13,0.004604,195
39x5,0.002949,195
65x3,0.00627,195
28x7,0.002864,196
49x4,0.003882,196
98x2,0.101507,196
18x11,0.003132,198
22x9,0.003213,198
33x6,0.093143,198
66x3,0.096095,198
99x2,0.101754,198
20x10,0.003423,200
25x8,0.093229,200
40x5,0.00314,200
50x4,0.003902,200
67x3,0.006049,201
29x7,0.003193,203
17x12,0.003711,204
34x6,0.093251,204
51x4,0.004192,204
68x3,0.096423,204
41x5,0.093327,205
23x9,0.003583,207
69x3,0.095994,207
16x13,0.094237,208
26x8,0.003394,208
52x4,0.004674,208
19x11,0.003159,209
15x14,0.094084,210
21x10,0.003533,210
30x7,0.003032,210
35x6,0.093234,210
42x5,0.00352,210
70x3,0.006594,210
53x4,0.004552,212
71x3,0.096788,213
43x5,0.003608,215
18x12,0.003436,216
24x9,0.003237,216
27x8,0.003195,216
36x6,0.092914,216
54x4,0.005367,216
72x3,0.097205,216
31x7,0.093206,217
73x3,0.097463,219
20x11,0.093846,220
22x10,0.093967,220
44x5,0.003874,220
55x4,0.005226,220
17x13,0.094572,221
37x6,0.093613,222
74x3,0.098087,222
16x14,0.004288,224
28x8,0.093522,224
32x7,0.093213,224
56x4,0.005391,224
25x9,0.003449,225
45x5,0.0943,225
75x3,0.097824,225
19x12,0.003984,228
38x6,0.003775,228
57x4,0.095458,228
76x3,0.098654,228
23x10,0.094673,230
46x5,0.004586,230
21x11,0.003835,231
33x7,0.003443,231
77x3,0.098428,231
29x8,0.093286,232
58x4,0.005606,232
18x13,0.094334,234
26x9,0.093815,234
39x6,0.093585,234
78x3,0.101061,234
47x5,0.00458,235
59x4,0.096062,236
79x3,0.099774,237
17x14,0.004033,238
34x7,0.004958,238
16x15,0.09418,240
20x12,0.004247,240
24x10,0.09395,240
30x8,0.003947,240
40x6,0.003726,240
48x5,0.004884,240
60x4,0.096203,240
80x3,0.09908,240
22x11,0.00389,242
27x9,0.093467,243
81x3,0.100067,243
61x4,0.006371,244
35x7,0.003739,245
49x5,0.094811,245
41x6,0.004265,246
82x3,0.100096,246
19x13,0.094677,247
31x8,0.003497,248
62x4,0.096439,248
83x3,0.100535,249
25x10,0.004469,250
50x5,0.095209,250
18x14,0.004651,252
21x12,0.094652,252
28x9,0.003873,252
36x7,0.004255,252
42x6,0.094397,252
63x4,0.097494,252
84x3,0.101537,252
23x11,0.00394,253
17x15,0.004555,255
51x5,0.005253,255
85x3,0.101273,255
32x8,0.004224,256
64x4,0.097073,256
43x6,0.094397,258
86x3,0.101129,258
37x7,0.004293,259
20x13,0.003862,260
26x10,0.003901,260
52x5,0.095494,260
65x4,0.097585,260
29x9,0.003787,261
87x3,0.102088,261
22x12,0.094888,264
24x11,0.00394,264
33x8,0.003926,264
44x6,0.094691,264
66x4,0.097861,264
88x3,0.10224,264
53x5,0.095563,265
19x14,0.004705,266
38x7,0.094233,266
89x3,0.10183,267
67x4,0.098458,268
18x15,0.094644,270
27x10,0.005125,270
30x9,0.094088,270
45x6,0.005175,270
54x5,0.096472,270
90x3,0.102164,270
17x16,0.096248,272
34x8,0.0041,272
68x4,0.008301,272
21x13,0.004208,273
39x7,0.004276,273
91x3,0.192812,273
25x11,0.094621,275
55x5,0.096352,275
23x12,0.094256,276
46x6,0.095376,276
69x4,0.008486,276
92x3,0.103519,276
31x9,0.004017,279
93x3,0.103778,279
20x14,0.095516,280
28x10,0.003732,280
35x8,0.004599,280
40x7,0.094514,280
56x5,0.096652,280
70x4,0.098973,280
47x6,0.09569,282
94x3,0.195032,282
71x4,0.099481,284
19x15,0.094908,285
57x5,0.00675,285
95x3,0.10498,285
22x13,0.00455,286
26x11,0.095561,286
41x7,0.094854,287
18x16,0.005122,288
24x12,0.094556,288
32x9,0.094266,288
36x8,0.004485,288
48x6,0.09626,288
72x4,0.09931,288
96x3,0.19514,288
29x10,0.094262,290
58x5,0.097243,290
97x3,0.106045,291
73x4,0.099997,292
21x14,0.095238,294
42x7,0.004795,294
49x6,0.005874,294
98x3,0.105785,294
59x5,0.097296,295
37x8,0.095043,296
74x4,0.100566,296
27x11,0.095491,297
33x9,0.0948,297
99x3,0.196419,297
23x13,0.005629,299
20x15,0.095764,300
25x12,0.004612,300
30x10,0.004523,300
50x6,0.005922,300
60x5,0.007486,300
75x4,0.1007,300
43x7,0.00519,301
19x16,0.005624,304
38x8,0.004642,304
76x4,0.1011,304
61x5,0.097825,305
18x17,0.095785,306
34x9,0.093657,306
51x6,0.09624,306
22x14,0.094929,308
28x11,0.09467,308
44x7,0.095597,308
77x4,0.10196,308
31x10,0.094885,310
62x5,0.098287,310
24x13,0.004817,312
26x12,0.00468,312
39x8,0.095521,312
52x6,0.006535,312
78x4,0.10328,312
21x15,0.005207,315
35x9,0.094861,315
45x7,0.095681,315
63x5,0.008932,315
79x4,0.101998,316
53x6,0.096837,318
29x11,0.005323,319
20x16,0.005191,320
32x10,0.004821,320
40x8,0.005618,320
64x5,0.099163,320
80x4,0.192537,320
23x14,0.09496,322
46x7,0.006199,322
19x17,0.095747,323
27x12,0.005001,324
36x9,0.095199,324
54x6,0.007434,324
81x4,0.102856,324
25x13,0.095755,325
65x5,0.09912,325
41x8,0.005486,328
82x4,0.192957,328
47x7,0.006079,329
22x15,0.00617,330
30x11,0.095151,330
33x10,0.005068,330
55x6,0.097287,330
66x5,0.099512,330
83x4,0.103592,332
37x9,0.005314,333
67x5,0.099984,335
21x16,0.09535,336
24x14,0.095879,336
28x12,0.005267,336
42x8,0.095827,336
48x7,0.096577,336
56x6,0.097931,336
84x4,0.195429,336
26x13,0.094969,338
20x17,0.096244,340
34x10,0.005442,340
68x5,0.100397,340
85x4,0.10466,340
31x11,0.004975,341
19x18,0.005772,342
38x9,0.09518,342
57x6,0.09798,342
49x7,0.097207,343
43x8,0.095927,344
86x4,0.104626,344
23x15,0.005087,345
69x5,0.190762,345
29x12,0.095055,348
58x6,0.09859,348
87x4,0.10536,348
25x14,0.00593,350
35x10,0.005064,350
50x7,0.097043,350
70x5,0.100763,350
27x13,0.095791,351
39x9,0.005608,351
22x16,0.095666,352
32x11,0.095499,352
44x8,0.006954,352
88x4,0.10546,352
59x6,0.098829,354
71x5,0.101733,355
89x4,0.196019,356
21x17,0.006661,357
51x7,0.097565,357
20x18,0.005958,360
24x15,0.005842,360
30x12,0.005445,360
36x10,0.095742,360
40x9,0.095856,360
45x8,0.006321,360
60x6,0.098879,360
72x5,0.101617,360
90x4,0.196231,360
33x11,0.0954,363
26x14,0.005547,364
28x13,0.095636,364
52x7,0.208133,364
91x4,0.197802,364
73x5,0.102345,365
61x6,0.09977,366
23x16,0.097048,368
46x8,0.097642,368
92x4,0.197865,368
41x9,0.096122,369
37x10,0.095886,370
74x5,0.103097,370
53x7,0.008256,371
31x12,0.095561,372
62x6,0.100222,372
93x4,0.197784,372
22x17,0.097636,374
34x11,0.096003,374
25x15,0.095825,375
75x5,0.103469,375
47x8,0.096935,376
94x4,0.198493,376
29x13,0.005468,377
21x18,0.096465,378
27x14,0.005855,378
42x9,0.096842,378
54x7,0.008576,378
63x6,0.190454,378
20x19,0.096557,380
38x10,0.006186,380
76x5,0.193628,380
95x4,0.200112,380
24x16,0.096371,384
32x12,0.005664,384
48x8,0.007558,384
64x6,0.100806,384
96x4,0.200123,384
35x11,0.101928,385
55x7,0.09931,385
77x5,0.103783,385
43x9,0.006521,387
97x4,0.200571,388
26x15,0.096092,390
30x13,0.096081,390
39x10,0.096344,390
65x6,0.100829,390
78x5,0.194502,390
23x17,0.096227,391
28x14,0.095955,392
49x8,0.098307,392
56x7,0.098801,392
98x4,0.290347,392
79x5,0.194693,395
22x18,0.006674,396
33x12,0.096153,396
36x11,0.005784,396
44x9,0.097176,396
66x6,0.101923,396
99x4,0.201521,396
21x19,0.097702,399
57x7,0.099287,399
25x16,0.096957,400
40x10,0.096842,400
50x8,0.098408,400
80x5,0.104823,400
67x6,0.102321,402
31x13,0.096611,403
27x15,0.096265,405
45x9,0.097831,405
81x5,0.1055,405
29x14,0.096714,406
58x7,0.099977,406
37x11,0.096922,407
24x17,0.096673,408
34x12,0.096699,408
51x8,0.098506,408
68x6,0.192147,408
41x10,0.006928,410
82x5,0.106869,410
59x7,0.10045,413
23x18,0.006484,414
46x9,0.097879,414
69x6,0.102731,414
83x5,0.196847,415
26x16,0.096378,416
32x13,0.097361,416
52x8,0.09829,416
22x19,0.096833,418
38x11,0.096395,418
21x20,0.097404,420
28x15,0.006708,420
30x14,0.096511,420
35x12,0.090653,420
42x10,0.006957,420
60x7,0.100771,420
70x6,0.192705,420
84x5,0.197681,420
47x9,0.097477,423
53x8,0.099216,424
25x17,0.006615,425
85x5,0.198499,425
71x6,0.103702,426
61x7,0.100766,427
33x13,0.006618,429
39x11,0.097332,429
43x10,0.099899,430
86x5,0.198323,430
24x18,0.007162,432
27x16,0.00671,432
36x12,0.096959,432
48x9,0.098485,432
54x8,0.099889,432
72x6,0.104133,432
31x14,0.00636,434
62x7,0.10169,434
29x15,0.006374,435
87x5,0.198554,435
23x19,0.097755,437
73x6,0.105397,438
22x20,0.098013,440
40x11,0.007043,440
44x10,0.097585,440
55x8,0.100353,440
88x5,0.199129,440
49x9,0.098357,441
63x7,0.102139,441
26x17,0.007332,442
34x13,0.00693,442
37x12,0.006909,444
74x6,0.195593,444
89x5,0.200702,445
28x16,0.096312,448
32x14,0.097156,448
56x8,0.100691,448
64x7,0.102566,448
25x18,0.097957,450
30x15,0.006949,450
45x10,0.097936,450
50x9,0.098786,450
75x6,0.195833,450
90x5,0.200997,450
41x11,0.097613,451
35x13,0.097605,455
65x7,0.1926,455
91x5,0.201485,455
24x19,0.193771,456
38x12,0.097278,456
57x8,0.100955,456
76x6,0.105925,456
27x17,0.09717,459
51x9,0.099665,459
23x20,0.097779,460
46x10,0.098639,460
92x5,0.202408,460
22x21,0.007892,462
33x14,0.097163,462
42x11,0.098132,462
66x7,0.103924,462
77x6,0.196933,462
29x16,0.097826,464
58x8,0.101009,464
31x15,0.097515,465
93x5,0.20257,465
26x18,0.207059,468
36x13,0.097065,468
39x12,0.00735,468
52x9,0.100083,468
78x6,0.106671,468
67x7,0.193528,469
47x10,0.098634,470
94x5,0.203192,470
59x8,0.101254,472
43x11,0.195065,473
79x6,0.107383,474
25x19,0.098143,475
95x5,0.294267,475
28x17,0.097307,476
34x14,0.097379,476
68x7,0.104213,476
53x9,0.100386,477
24x20,0.008654,480
30x16,0.097335,480
32x15,0.007468,480
40x12,0.097702,480
48x10,0.099264,480
60x8,0.301982,480
80x6,0.197772,480
96x5,0.204043,480
37x13,0.103336,481
23x21,0.098911,483
69x7,0.10482,483
44x11,0.09889,484
97x5,0.296381,485
27x18,0.097815,486
54x9,0.100829,486
81x6,0.199235,486
61x8,0.102613,488
35x14,0.007588,490
49x10,0.100058,490
70x7,0.105149,490
98x5,0.206096,490
41x12,0.098185,492
82x6,0.199604,492
29x17,0.097738,493
26x19,0.097265,494
38x13,0.007927,494
33x15,0.098149,495
45x11,0.099136,495
55x9,0.101682,495
99x5,0.206973,495
31x16,0.097806,496
62x8,0.102674,496
71x7,0.195875,497
83x6,0.200019,498
25x20,0.098889,500
50x10,0.100307,500
24x21,0.098423,504
28x18,0.007545,504
36x14,0.008078,504
42x12,0.098269,504
56x9,0.101888,504
63x8,0.103175,504
72x7,0.196328,504
84x6,0.202107,504
23x22,0.099368,506
46x11,0.099601,506
39x13,0.099133,507
30x17,0.098261,510
34x15,0.098501,510
51x10,0.100541,510
85x6,0.201285,510
73x7,0.19695,511
32x16,0.098054,512
64x8,0.103837,512
27x19,0.098708,513
57x9,0.191939,513
43x12,0.098759,516
86x6,0.202777,516
47x11,0.099673,517
37x14,0.092576,518
74x7,0.107711,518
26x20,0.098616,520
40x13,0.098772,520
52x10,0.100256,520
65x8,0.104563,520
29x18,0.098745,522
58x9,0.10448,522
87x6,0.293374,522
25x21,0.098968,525
35x15,0.097736,525
75x7,0.198212,525
31x17,0.098409,527
24x22,0.099572,528
33x16,0.097695,528
44x12,0.099445,528
48x11,0.108542,528
66x8,0.194999,528
88x6,0.292503,528
53x10,0.191463,530
59x9,0.102888,531
28x19,0.098149,532
38x14,0.098268,532
76x7,0.199159,532
41x13,0.098831,533
89x6,0.204627,534
67x8,0.10557,536
49x11,0.100721,539
77x7,0.199896,539
27x20,0.105047,540
30x18,0.09844,540
36x15,0.098238,540
45x12,0.100056,540
54x10,0.192194,540
60x9,0.103471,540
90x6,0.294262,540
32x17,0.098473,544
34x16,0.098751,544
68x8,0.196452,544
26x21,0.008127,546
39x14,0.098794,546
42x13,0.099508,546
78x7,0.199731,546
91x6,0.205168,546
61x9,0.194068,549
25x22,0.099819,550
50x11,0.100943,550
55x10,0.103215,550
29x19,0.098825,551
24x23,0.099414,552
46x12,0.100421,552
69x8,0.197718,552
92x6,0.295679,552
79x7,0.20003,553
37x15,0.098754,555
31x18,0.008563,558
62x9,0.104605,558
93x6,0.298822,558
43x13,0.100113,559
28x20,0.098922,560
35x16,0.09917,560
40x14,0.099017,560
56x10,0.10274,560
70x8,0.197286,560
80x7,0.201235,560
33x17,0.00925,561
51x11,0.101277,561
47x12,0.101012,564
94x6,0.298125,564
27x21,0.101132,567
63x9,0.194833,567
81x7,0.291901,567
71x8,0.108078,568
30x19,0.099481,570
38x15,0.099285,570
57x10,0.103734,570
95x6,0.299948,570
26x22,0.10039,572
44x13,0.100227,572
52x11,0.195452,572
41x14,0.099716,574
82x7,0.293216,574
25x23,0.099722,575
32x18,0.099036,576
36x16,0.099485,576
48x12,0.184457,576
64x9,0.195489,576
72x8,0.198332,576
96x6,0.299187,576
34x17,0.099248,578
29x20,0.100024,580
58x10,0.196236,580
83x7,0.203547,581
97x6,0.300745,582
53x11,0.102726,583
73x8,0.199058,584
39x15,0.099724,585
45x13,0.100905,585
65x9,0.196552,585
28x21,0.099474,588
42x14,0.10011,588
49x12,0.101277,588
84x7,0.204558,588
98x6,0.300331,588
31x19,0.100477,589
59x10,0.194526,590
37x16,0.099325,592
74x8,0.290371,592
27x22,0.100035,594
33x18,0.099025,594
54x11,0.102638,594
66x9,0.10693,594
99x6,0.392582,594
35x17,0.099137,595
85x7,0.294483,595
26x23,0.1908,598
46x13,0.101199,598
25x24,0.101183,600
30x20,0.208969,600
40x15,0.099576,600
50x12,0.101395,600
60x10,0.104935,600
75x8,0.200649,600
43x14,0.100816,602
86x7,0.296115,602
67x9,0.197335,603
55x11,0.103266,605
32x19,0.099525,608
38x16,0.100513,608
76x8,0.200889,608
29x21,0.100057,609
87x7,0.206359,609
61x10,0.10538,610
47x13,0.101495,611
34x18,0.099511,612
36x17,0.10004,612
